MCD	Age (ka BP)	Terrigenous %
58.9	1766.9	28.93
58.95	1769.16	26.92
59	1771.43	25.91
59.05	1773.68	24.4
59.1	1778.21	24.91
59.2	1780.46	30.94
59.25	1782.73	36.47
59.3	1784.99	40.49
59.35	1787.26	45.01
59.4	1789.51	42.5
59.45	1791.78	44.01
59.5	1794.22	44.51
59.55	1796.65	46.02
59.6	1799.09	42.5
59.65	1801.52	38.98
59.7	1803.96	33.45
59.75	1806.39	25.91
59.8	1808.81	21.89
59.85	1811.25	28.93
59.9	1813.68	33.95
59.95	1816.12	37.98
60	1818.55	38.48
60.05	1820.98	36.47
60.1	1823.42	29.93
60.15	1825.85	22.39
60.2	1828.29	21.89
60.25	1830.72	29.93
60.3	1833.16	39.99
60.35	1835.59	46.02
60.4	1838.02	48.53
60.45	1840.78	51.55
60.5	1843.89	52.05
60.55	1847.01	49.54
60.6	1853.22	45.01
60.7	1856.35	23.4
60.75	1859.45	26.92
60.8	1862.58	30.44
60.85	1865.68	33.95
60.9	1868.8	36.47
60.95	1871.91	29.43
61	1875.02	26.92
61.05	1878.14	23.9
61.1	1881.25	23.4
61.15	1884.37	23.4
61.2	1887.47	23.4
61.25	1890.58	23.4
61.3	1893.7	21.89
61.35	1896.81	20.88
61.4	1898.82	18.87
61.45	1900.39	18.87
61.5	1901.96	18.87
61.55	1903.53	21.39
61.6	1906.67	23.9
61.7	1908.24	24.91
61.75	1909.81	28.42
61.8	1911.38	30.94
61.85	1912.95	32.45
61.9	1915.04	38.48
61.95	1917.17	39.99
62	1919.31	28.93
62.05	1921.43	21.39
62.1	1923.57	21.89
62.15	1925.69	23.9
62.2	1927.82	26.92
62.25	1929.95	27.92
62.3	1932.08	28.93
62.35	1934.22	28.42
62.4	1936.34	26.41
62.45	1938.47	25.91
62.5	1940.6	23.4
62.55	1942.73	22.39
62.6	1944.86	25.91
62.65	1946.99	30.94
62.7	1949.13	31.44
62.75	1951.25	33.45
62.8	1953.38	36.97
62.85	1955.52	35.96
62.9	1957.65	31.44
62.95	1959.79	27.42
63	1961.92	24.91
63.05	1964.05	23.4
63.1	1966.2	21.89
63.15	1968.33	20.88
63.2	1970.47	19.38
63.25	1972.6	20.88
63.3	1974.73	18.87
63.35	1976.87	19.88
63.4	1980.98	18.87
63.5	1982.94	16.86
63.55	1984.91	20.88
63.6	1986.87	24.91
63.65	1988.83	31.44
63.7	1990.8	33.95
63.75	1992.75	33.45
63.8	1994.72	30.94
63.85	1996.68	31.44
63.9	1998.65	31.44
63.95	2000.61	32.95
64	2002.57	33.95
64.05	2004.53	37.98
64.1	2006.49	36.47
64.15	2008.46	31.94
64.2	2010.42	28.93
64.25	2012.38	21.89
64.3	2014.35	18.37
64.35	2016.31	15.86
64.4	2018.28	14.85
64.45	2020.25	16.86
64.5	2022.24	19.38
64.55	2024.21	19.38
64.6	2026.19	18.37
64.65	2028.17	17.37
64.7	2030.14	17.37
64.75	2032.13	18.37
64.8	2034.1	18.87
64.85	2036.08	18.87
64.9	2040.04	19.38
65	2042.02	19.38
65.05	2043.99	19.38
65.1	2045.98	20.38
65.15	2047.95	20.38
