Depth [m]	Interpolated Bchron Age	Zr/Rb 	Ca/Ti	Rb/K
5.32642	8491.173	5.168270348	0.278305632	2.32544973
5.33741	8498.3165	4.304868218	0.263333902	2.926732013
5.34842	8506.736	4.906725563	0.275756236	3.574978007
5.35942	8514.594	4.967213668	0.262974743	3.144551638
5.37041	8522.328	4.457078125	0.26481624	3.728058699
5.38342	8532.736	4.388662595	0.263233516	3.091026847
5.39441	8541.087	4.988529096	0.284263855	2.444595715
5.40542	8548.794	4.64194623	0.265023622	2.92105904
5.41642	8555.852	5.196341582	0.255811774	2.849417689
5.42741	8563.928	4.936936201	0.258664605	2.324316823
5.43841	8571.887	4.74624436	0.262929648	2.395623568
5.44941	8579.587	4.710925725	0.261894337	2.308745344
5.46042	8586.252	4.620370098	0.266433959	2.481630939
5.47142	8592.994	5.23201771	0.258681049	2.273266925
5.48241	8600.687	5.399254705	0.250260636	2.61531446
5.49342	8609.078	4.339549741	0.270675801	3.345958674
5.5044	8618.08	4.225063221	0.253188377	3.021642668
5.51542	8625.252	5.36966007	0.262665084	2.500520626
5.52642	8632.494	5.177930749	0.236389393	3.169701863
5.53741	8640.5575	5.05387416	0.242046753	3.275054138
5.54842	8648.815	4.531763794	0.256722775	2.962675135
5.5594	8656.58	3.962446388	0.242877223	4.866573592
5.57042	8665.294	4.515392236	0.225421531	4.695070365
5.58142	8672.852	5.223195229	0.23931126	2.520033857
5.59242	8679.694	4.609774207	0.250188801	3.261415749
5.60342	8687.565	4.079778549	0.256216769	3.31787701
5.61442	8696.257	4.556577978	0.249039586	3.441178387
5.62542	8704.794	4.970507404	0.238337645	3.014790996
5.63641	8712.8075	4.841682552	0.234160985	3.174917508
5.64741	8720.3165	5.002811588	0.259495763	2.74599518
5.65841	8728.728	4.933411969	0.26579323	2.122473103
5.66941	8737.528	4.605096437	0.248598044	2.821305668
5.68042	8745.294	4.413663047	0.241181045	2.652399887
5.69141	8752.987	4.200663501	0.220340996	3.927892843
5.70241	8761.0485	4.392820129	0.22219447	4.537247863
5.71341	8770.228	4.979067345	0.209833127	3.760575842
5.72441	8779.2485	4.515988502	0.226243358	4.702181304
5.73541	8787.246	3.692194699	0.223590653	5.009554516
5.74641	8795.128	5.083418011	0.22222497	3.383765774
5.75741	8803.928	4.098371444	0.221341934	5.022745818
5.76841	8812.728	5.313195091	0.229650612	3.976723433
