anu	ins_chb_s	ins_chb_a	ins_tibet_s
132740	469.34326676903	403.217857440086	493.731223202847
132750	469.34107449582	403.225272042246	493.638855509819
132760	469.338632222976	403.23284654707	493.546555715356
132770	469.335940051584	403.240580890711	493.454324242253
132780	469.332998084813	403.248475009264	493.362161512272
132790	469.329806427899	403.256528838748	493.270067946314
132800	469.32636518812	403.264742315435	493.178043964149
132810	469.322674474655	403.273115375469	493.086089984529
132820	469.318734399032	403.281647955002	492.994206425142
132830	469.314545074389	403.290339990433	492.902393702796
132840	469.310106616064	403.299191418024	492.810652233238
132850	469.305419141495	403.308202174196	492.718982430908
132860	469.300482769863	403.317372195194	492.627384709756
132870	469.295297622726	403.326701417482	492.535859482114
132880	469.289863823556	403.336189777609	492.44440715998
132890	469.284181497416	403.34583721195	492.353028153734
132900	469.278250772095	403.355643657162	492.261722873113
132910	469.27207177676	403.36560904972	492.170491726863
132920	469.265644642971	403.375733326116	492.079335122491
132930	469.258969504053	403.386016423056	491.98825346676
132940	469.252046495534	403.396458277196	491.897247165462
132950	469.244875754737	403.407058825056	491.806316622985
132960	469.237457421158	403.417818003504	491.715462243417
132970	469.229791636152	403.428735749133	491.624684429262
132980	469.221878543109	403.439811998606	491.533983582361
132990	469.213718287485	403.451046688951	491.443360103655
133000	469.205311016589	403.462439756674	491.352814392754
133010	469.196626224181	403.474008584789	491.261616970062
133020	469.187695668158	403.485734996534	491.170498301137
133030	469.178519501932	403.497618929306	491.079458779933
133040	469.169097881043	403.509660320557	490.988498799359
133050	469.159430962743	403.521859107636	490.897618751808
133060	469.149518906321	403.53421522794	490.80681902824
133070	469.139361873224	403.546728619003	490.716100018925
133080	469.128960026623	403.559399218223	490.625462113326
133090	469.118313531593	403.572226963124	490.534905699591
133100	469.107422555421	403.58521179103	490.444431165356
133110	469.096287267096	403.598353639351	490.354038896926
133120	469.084907837804	403.611652445737	490.263729280069
133130	469.073284440396	403.62510814761	490.1735026994
133140	469.061417249784	403.638720682237	490.083359538637
133150	469.049306442877	403.652489987293	489.993300180624
133160	469.036952198493	403.666416000234	489.903325007456
133170	469.024354697274	403.680498658328	489.81343439995
133180	469.011514121936	403.694737899226	489.723628738312
133190	468.998430657012	403.709133660209	489.633908401796
133200	468.985104489079	403.72368587872	489.54427376854
133210	468.971535806579	403.738394492261	489.45472521623
133220	468.957724799695	403.753259438185	489.365263121317
133230	468.94367166093	403.768280653837	489.275887859433
133240	468.929376584334	403.783458076663	489.186599805386
133250	468.914839766032	403.798791643938	489.097399332935
133260	468.900061404038	403.814281293138	489.008286815208
